ths_industry_name,mapped_sw2_code,mapped_sw2_name,mapping_method,mapping_confidence,review_status,production_allowed,notes
IT服务,801103,IT服务Ⅱ,normalized_exact,0.95,auto_normalized_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
专用设备,801074,专用设备,exact,1.0,auto_exact_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
中药,801155,中药,exact,1.0,auto_exact_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
互联网电商,801206,互联网电商,exact,1.0,auto_exact_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
保险,801194,保险,exact,1.0,auto_exact_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
元件,801083,元件,exact,1.0,auto_exact_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
光伏设备,801735,光伏设备,exact,1.0,auto_exact_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
光学光电子,801084,光学光电子,exact,1.0,auto_exact_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
公路铁路运输,801179,铁路公路,manual_semantic_equivalent,0.95,manual_semantic_reviewed,否,V5.24保守修复：词序或后缀差异；仍不允许自动交易，只用于PIT面板覆盖。
其他电子,801082,其他电子,exact,1.0,auto_exact_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
其他电源设备,801733,其他电源设备Ⅱ,normalized_exact,0.95,auto_normalized_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
其他社会服务,801223,通信服务,difflib_suggestion,0.4,manual_review_required,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
养殖业,801017,养殖业,exact,1.0,auto_exact_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
军工电子,801745,军工电子Ⅱ,normalized_exact,0.95,auto_normalized_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
军工装备,801742,航空装备,difflib_suggestion,0.5,manual_review_required,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
农产品加工,801012,农产品加工,exact,1.0,auto_exact_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
农化制品,801038,农化制品,exact,1.0,auto_exact_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
包装印刷,801141,包装印刷,exact,1.0,auto_exact_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
化学制品,801034,化学制品,exact,1.0,auto_exact_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
化学制药,801151,化学制药,exact,1.0,auto_exact_match,否,精确匹配也需复核行业口径；manual_review_required 不得接入因子回测。
