snapshot_date,available_date,etf_code,exchange,fund_name,fund_type,investment_type,tracked_index_code,tracked_index_name,list_date,delist_date,manager,scale_cny_100m,source,source_url,mapping_status,mapping_source,eligible_stock_etf,record_hash
2026-07-11,2026-07-11,510010,SSE,180治理ETF交银,F111,境内股票ETF,000021,上证180公司治理指数,2009-12-15,,交银施罗德基金管理有限公司,2.2149,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,a98de67699a2083f7b8281bebf548d8669963b786f0bdf2cbcf1d3e731b8b446
2026-07-11,2026-07-11,510020,SSE,超大盘ETF博时,F111,境内股票ETF,000043,上证超级大盘指数,2010-03-19,,博时基金管理有限公司,1.3988,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,fe67b99f8b57936fe7b0fff0971f9925fd8f8cdb4bfa688b7156d4c237dd32a9
2026-07-11,2026-07-11,510030,SSE,价值ETF华宝,F111,境内股票ETF,000029,上证180价值指数,2010-05-28,,华宝基金管理有限公司,1.6076,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,2cbfe6028476a740c0ee0e7afa2f8f7df160a0d2ce11cefb43d1e677729d038a
2026-07-11,2026-07-11,510040,SSE,上证180ETF鹏华,F111,境内股票ETF,000010,上证180指数,2025-01-06,,鹏华基金管理有限公司,0.4107,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,51a616d8eb6cbddf0a470e30d3dbe1b36484efc4c2e5ba5056b4a0e05934d8c8
2026-07-11,2026-07-11,510050,SSE,上证50ETF华夏,F111,境内股票ETF,000016,上证50指数,2005-02-23,,华夏基金管理有限公司,195.9129,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,c631ec3a11ac7b2b2c0f0f6d3a53ba698a0605f7e7a48354ce354d7d353a4859
2026-07-11,2026-07-11,510060,SSE,央企ETF工银,F111,境内股票ETF,000042,上证中央企业50指数,2009-10-27,,工银瑞信基金管理有限公司,0.9238,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,52c29bc1951b896b2bbe1139d9e4ad30ba9f55f8fec187ed3af1666b87f27df4
2026-07-11,2026-07-11,510090,SSE,责任ETF建信,F111,境内股票ETF,000048,上证社会责任指数,2010-08-09,,建信基金管理有限责任公司,0.6062,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,d05bc29fecb334effe8d220f6fedd1e0f30716ed1d8d959b1700378b005665a6
2026-07-11,2026-07-11,510100,SSE,上证50ETF易方达,F111,境内股票ETF,000016,上证50指数,2019-10-09,,易方达基金管理有限公司,30.3463,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,3195ebd9b53a4b686314a9869a90ba9d707bbba8ad1605ef73619acd82444597
2026-07-11,2026-07-11,510130,SSE,上证中盘ETF易方达,F111,境内股票ETF,000044,上证中盘指数,2010-06-23,,易方达基金管理有限公司,2.3096,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,fbbe9cd75cb291b5cfd542eb6836aa0e308673bd5a2557ccc10d91c6a4a82f73
2026-07-11,2026-07-11,510140,SSE,上证综指ETF华夏,F111,境内股票ETF,000001,上证综合指数,2026-07-03,,华夏基金管理有限公司,0.9735,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,6cf264a5b73e9899b00cd7f21f384e156831b2e7efaf62a258b453cb1d5ccb7c
2026-07-11,2026-07-11,510150,SSE,消费ETF招商,F111,境内股票ETF,000069,上证消费80指数,2011-02-25,,招商基金管理有限公司,14.2521,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,3f0c61fbe38318de118a2ba828bf0855dbfd9c9dda3eb9bfccf468f57b8c7332
2026-07-11,2026-07-11,510160,SSE,产业升级ETF南方,F111,境内股票ETF,000901,中证南方小康产业指数,2010-11-01,,南方基金管理股份有限公司,1.6286,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,fc5ca95a8d7f3de2ee5aea76487fadf8b134d49102bc8a2251d50e3882e14d48
2026-07-11,2026-07-11,510170,SSE,大宗商品ETF国联安,F111,境内股票ETF,000066,上证大宗商品股票指数,2011-01-25,,国联安基金管理有限公司,4.8739,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,88b4915aeda313279c374edd5f1030eaff5270e42170f42632a8a1c2294bf23d
2026-07-11,2026-07-11,510180,SSE,上证180ETF华安,F111,境内股票ETF,000010,上证180指数,2006-05-18,,华安基金管理有限公司,181.1381,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,d4cbed45e14bb071498f54524438ebb1fd58826ae985c5e1c3b02c433c15e10e
2026-07-11,2026-07-11,510190,SSE,上证50ETF华安,F111,境内股票ETF,000016,上证龙头企业指数,2011-01-10,,华安基金管理有限公司,1.0321,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,cc892fd0ccf8fc06696df8929f92534922c8e0447626a898adfb7c4201224b73
2026-07-11,2026-07-11,510200,SSE,上证券商ETF汇安,F111,境内股票ETF,950105,上证证券行业指数,2020-05-08,,汇安基金管理有限责任公司,1.9556,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,aa4842b2691fa98caaccd5ea4c45a8e7d3635c160eadd20f6b5c1d7753324ef7
2026-07-11,2026-07-11,510210,SSE,上证指数ETF富国,F111,境内股票ETF,000001,上证综合指数,2011-03-25,,富国基金管理有限公司,106.9655,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,2ef94bbf6d853629f16f4150efc65c421335e01f51f708e78b223f16aee5a74f
2026-07-11,2026-07-11,510230,SSE,金融ETF国泰,F111,境内股票ETF,000018,上证180金融股指数,2011-05-23,,国泰基金管理有限公司,8.3004,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,b133eb4e48ffa99b3618bcd2706a7dc3da7fb71586bb70a539d919e7c4085fb3
2026-07-11,2026-07-11,510270,SSE,国企ETF中银,F111,境内股票ETF,000056,上证国有企业100指数,2011-08-18,,中银基金管理有限公司,0.2488,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,8064708159b67bf195618347b1b6c3fd14a41252d86c313d0424f103b477b93b
2026-07-11,2026-07-11,510290,SSE,上证380ETF南方,F111,境内股票ETF,000009,上证380指数,2011-11-08,,南方基金管理股份有限公司,1.5088,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,b9f5725417b267abc76a6acaf7c7031a068cd3bbf015dd13ded94949c5c77408
2026-07-11,2026-07-11,510300,SSE,沪深300ETF华泰柏瑞,F112,境内股票ETF,000300,沪深300指数,2012-05-28,,华泰柏瑞基金管理有限公司,828.5206,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,506e1b2816a2540df44f22d10eda8d0a48d5b6f122aef1184eebce58195a6f31
2026-07-11,2026-07-11,510310,SSE,沪深300ETF易方达,F112,境内股票ETF,000300,沪深300指数,2013-03-25,,易方达基金管理有限公司,430.1281,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,ed57ca387a680542c57178529e64175a1926421b015ff432fa4cd0f27f48e2be
2026-07-11,2026-07-11,510320,SSE,沪深300ETF中金,F112,境内股票ETF,000300,沪深300指数,2025-04-25,,中金基金管理有限公司,7.7898,上海证券交易所ETF列表,https://etf.sse.com.cn/fundlist/,exact_index_code,official_csi_product_catalog,True,51926ef59cf267639558b7e906fbd60fc0b8bd72a2021d81ced44fa39c7e4c9a
