etf_code,exchange,fund_name,tracked_index_code,tracked_index_name,scale_cny_100m,industry_code,dominant_industry_weight,classified_weight_coverage,component_count,weight_date,industry_name,mapping_status,mapping_confidence,mapping_source
510010,SSE,180治理ETF交银,000021,上证180公司治理指数,2.2149,801125,0.09849393975759031,1.0,100.0,20260630,白酒Ⅱ,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
510020,SSE,超大盘ETF博时,000043,上证超级大盘指数,1.3988,801081,0.19480194801948017,1.0,20.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
510030,SSE,价值ETF华宝,000029,上证180价值指数,1.6076,801783,0.21047210472104724,1.0,60.0,20260630,股份制银行Ⅱ,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
510040,SSE,上证180ETF鹏华,000010,上证180指数,0.4107,801081,0.2155464663939918,1.0,180.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
510050,SSE,上证50ETF华夏,000016,上证50指数,195.9129,801081,0.25881741182588175,1.0,50.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
510060,SSE,央企ETF工银,000042,上证中央企业50指数,0.9238,801782,0.16936661266774664,1.0,50.0,20260630,国有大型银行Ⅱ,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
510090,SSE,责任ETF建信,000048,上证社会责任指数,0.6062,801783,0.14096999999999998,1.0,100.0,20260630,股份制银行Ⅱ,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
510100,SSE,上证50ETF易方达,000016,上证50指数,30.3463,801081,0.25881741182588175,1.0,50.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
510130,SSE,上证中盘ETF易方达,000044,上证中盘指数,2.3096,801081,0.1462429248584972,1.0,130.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
510140,SSE,上证综指ETF华夏,000001,上证综合指数,0.9735,801081,0.14234572962811115,0.9989800305990821,2217.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
510150,SSE,消费ETF招商,000069,上证消费80指数,14.2521,801151,0.16171838281617185,1.0,80.0,20260630,化学制药,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
