path,name,extension,size_bytes,modified_time,top_dir,doc_type,topic_tags,priority_hint,status,next_action
scripts\audit_factor_registry.py,audit_factor_registry.py,.py,8308,2026-06-13T15:45:56,scripts,code,factor,P1,new,skim_then_extract
scripts\build_v4_93_rebound_leader_historical_backtest_verdict.py,build_v4_93_rebound_leader_historical_backtest_verdict.py,.py,23149,2026-07-12T09:25:46,scripts,code,backtest,P1,new,skim_then_extract
scripts\run_industry_conditional_reversal_backtest.py,run_industry_conditional_reversal_backtest.py,.py,39178,2026-06-13T17:31:17,scripts,code,backtest,P1,new,skim_then_extract
scripts\run_industry_oversold_bottom_backtest.py,run_industry_oversold_bottom_backtest.py,.py,33320,2026-06-13T16:55:58,scripts,code,backtest,P1,new,skim_then_extract
scripts\run_industry_rankic_portfolio_bridge_v2_8.py,run_industry_rankic_portfolio_bridge_v2_8.py,.py,72221,2026-06-14T16:49:43,scripts,code,portfolio,P1,new,skim_then_extract
scripts\run_industry_rebound_leader_oos_factor_v4_74.py,run_industry_rebound_leader_oos_factor_v4_74.py,.py,19313,2026-06-20T13:26:56,scripts,code,factor,P1,new,skim_then_extract
scripts\run_industry_rebound_leader_separable_portfolio_v4_78.py,run_industry_rebound_leader_separable_portfolio_v4_78.py,.py,11576,2026-06-20T13:37:56,scripts,code,portfolio,P1,new,skim_then_extract
scripts\run_industry_rebound_window_path_risk_v2_18.py,run_industry_rebound_window_path_risk_v2_18.py,.py,20567,2026-06-16T18:49:06,scripts,code,risk,P1,new,skim_then_extract
scripts\run_industry_rebound_window_v3_5_independent_risk.py,run_industry_rebound_window_v3_5_independent_risk.py,.py,21569,2026-06-17T14:35:15,scripts,code,risk,P1,new,skim_then_extract
scripts\run_industry_rebound_window_v4_25_bad_window_risk_condition.py,run_industry_rebound_window_v4_25_bad_window_risk_condition.py,.py,9399,2026-06-17T22:07:33,scripts,code,risk,P1,new,skim_then_extract
scripts\run_industry_rebound_window_v4_2_bad_window_risk.py,run_industry_rebound_window_v4_2_bad_window_risk.py,.py,40279,2026-06-17T15:58:56,scripts,code,risk,P1,new,skim_then_extract
scripts\run_industry_rebound_window_v4_34_flow_risk_relative_frontier.py,run_industry_rebound_window_v4_34_flow_risk_relative_frontier.py,.py,6980,2026-06-17T23:25:14,scripts,code,risk,P1,new,skim_then_extract
scripts\run_industry_rebound_window_v4_35_walk_forward_flow_risk.py,run_industry_rebound_window_v4_35_walk_forward_flow_risk.py,.py,14728,2026-06-17T23:33:13,scripts,code,risk,P1,new,skim_then_extract
scripts\run_industry_rebound_window_v4_8_risk_quality_filter.py,run_industry_rebound_window_v4_8_risk_quality_filter.py,.py,34160,2026-06-17T17:17:09,scripts,code,risk,P1,new,skim_then_extract
scripts\run_latest_undervalued_oversold_bottom_backtest.py,run_latest_undervalued_oversold_bottom_backtest.py,.py,53008,2026-06-14T19:09:06,scripts,code,backtest,P1,new,skim_then_extract
